zpid,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,living_area,home_type,zestimate,country,tax_assessed_value,new_home,construction_type,home_detail_link
72630044,South Jordan,UT,84009,40.544003,-112.00453,480000.0,4.0,3.0,2160.0,TOWNHOUSE,483800.0,USA,376600.0,,,https://www.zillow.com/homedetails/11411-S-Oakmond-Rd-South-Jordan-UT-84009/72630044_zpid/
12924450,Draper,UT,84020,40.542583,-111.88707,790000.0,3.0,6.0,3232.0,SINGLE_FAMILY,804500.0,USA,633900.0,,,https://www.zillow.com/homedetails/118-E-Cranberry-Hill-Dr-Draper-UT-84020/12924450_zpid/
122073260,South Jordan,UT,84009,40.560986,-112.013916,640000.0,4.0,4.0,3042.0,SINGLE_FAMILY,649800.0,USA,602100.0,,,https://www.zillow.com/homedetails/5154-W-Longbow-Dr-South-Jordan-UT-84009/122073260_zpid/
72628900,South Jordan,UT,84009,40.54253,-112.03287,711000.0,4.0,6.0,3588.0,SINGLE_FAMILY,720900.0,USA,643200.0,,,https://www.zillow.com/homedetails/11492-S-Keystone-Dr-South-Jordan-UT-84009/72628900_zpid/
2071433918,South Jordan,UT,84009,40.556786,-111.99526,738500.0,3.0,6.0,3272.0,SINGLE_FAMILY,,USA,,,,https://www.zillow.com/homedetails/10706-S-Indigo-Sky-Way-W-South-Jordan-UT-84009/2071433918_zpid/
72631288,South Jordan,UT,84009,40.54412,-112.00548,380000.0,3.0,3.0,1449.0,TOWNHOUSE,373900.0,USA,328700.0,,,https://www.zillow.com/homedetails/4807-W-Topcrest-Dr-South-Jordan-UT-84009/72631288_zpid/
52839386,Draper,UT,84020,40.47746,-111.84054,780000.0,3.0,4.0,3332.0,SINGLE_FAMILY,,USA,592400.0,,,https://www.zillow.com/homedetails/1827-E-Auburn-Ridge-Ln-Draper-UT-84020/52839386_zpid/
97772166,South Jordan,UT,84009,40.564945,-111.995125,565000.0,4.0,4.0,2462.0,SINGLE_FAMILY,,USA,517900.0,,,https://www.zillow.com/homedetails/10252-S-Millerton-Dr-South-Jordan-UT-84009/97772166_zpid/
79770863,Draper,UT,84020,40.459522,-111.83121,650000.0,4.0,4.0,2934.0,SINGLE_FAMILY,658300.0,USA,392300.0,,,https://www.zillow.com/homedetails/1991-E-Fielding-Hill-Ln-Draper-UT-84020/79770863_zpid/
251210136,South Jordan,UT,84009,40.55839,-112.015816,400000.0,3.0,2.0,1378.0,TOWNHOUSE,403300.0,USA,396200.0,,,https://www.zillow.com/homedetails/10621-S-Lamond-Dr-South-Jordan-UT-84009/251210136_zpid/
145605996,Millcreek,UT,84106,40.694412,-111.838844,1495000.0,6.0,6.0,5969.0,SINGLE_FAMILY,1518600.0,USA,1582700.0,,,https://www.zillow.com/homedetails/1846-E-Honey-Creek-Ln-Millcreek-UT-84106/145605996_zpid/
65730637,South Jordan,UT,84095,40.55402,-111.93633,449000.0,4.0,3.0,2063.0,TOWNHOUSE,446700.0,USA,423200.0,,,https://www.zillow.com/homedetails/1616-W-Wynview-Ln-South-Jordan-UT-84095/65730637_zpid/
61173492,Draper,UT,84020,40.48074,-111.84009,1250000.0,4.0,5.0,4342.0,SINGLE_FAMILY,1264800.0,USA,879400.0,,,https://www.zillow.com/homedetails/14875-S-Saddle-Leaf-Ct-Draper-UT-84020/61173492_zpid/
2054457102,South Jordan,UT,84009,40.54312,-112.05021,1650000.0,5.0,5.0,5009.0,SINGLE_FAMILY,1627900.0,USA,,,,https://www.zillow.com/homedetails/11453-S-Watercourse-Rd-142-South-Jordan-UT-84009/2054457102_zpid/
2072772469,Salt Lake City,UT,84117,40.670677,-111.8538,574900.0,3.0,4.0,2275.0,SINGLE_FAMILY,563200.0,USA,,,,https://www.zillow.com/homedetails/4610-S-Park-Manor-Dr-E-Salt-Lake-City-UT-84117/2072772469_zpid/
348387471,Draper,UT,84020,40.536488,-111.88545,725000.0,3.0,4.0,3312.0,SINGLE_FAMILY,,USA,,,,https://www.zillow.com/homedetails/11813-S-Cottage-Side-Way-E-Draper-UT-84020/348387471_zpid/
348429430,Draper,UT,84020,40.5377,-111.9054,1377280.0,4.0,5.0,5236.0,SINGLE_FAMILY,,USA,,True,BUILDER_SPEC,https://www.zillow.com/homedetails/478-W-Adair-Ln-Draper-UT-84020/348429430_zpid/
338637515,South Jordan,UT,84009,40.555,-111.98138,1149897.0,6.0,7.0,4860.0,SINGLE_FAMILY,1147100.0,USA,847700.0,,,https://www.zillow.com/homedetails/10947-S-Glamis-Dune-Dr-South-Jordan-UT-84009/338637515_zpid/
89418012,South Jordan,UT,84009,40.53722,-112.01055,350000.0,2.0,3.0,1277.0,CONDO,350100.0,USA,302600.0,,,https://www.zillow.com/homedetails/11773-S-Currant-Dr-UNIT-102-South-Jordan-UT-84009/89418012_zpid/
2072723001,South Jordan,UT,84095,40.5719,-111.92949,850000.0,4.0,6.0,3883.0,SINGLE_FAMILY,835300.0,USA,,,,https://www.zillow.com/homedetails/1314-W-Marwood-Park-Ln-South-Jordan-UT-84095/2072723001_zpid/
2129841232,South Jordan,UT,84095,40.562584,-111.99867,330000.0,2.0,2.0,1081.0,CONDO,327600.0,USA,,,,https://www.zillow.com/homedetails/10384-S-Clarks-Hill-Dr-STE-105-South-Jordan-UT-84095/2129841232_zpid/
2072012939,Salt Lake City,UT,84117,40.672977,-111.85292,610000.0,3.0,3.0,2254.0,TOWNHOUSE,,USA,,,,https://www.zillow.com/homedetails/1340-E-Mossy-Springs-Ln-S-Salt-Lake-City-UT-84117/2072012939_zpid/
12931963,Draper,UT,84020,40.51154,-111.86141,789943.0,2.0,3.0,2744.0,SINGLE_FAMILY,802000.0,USA,457000.0,,,https://www.zillow.com/homedetails/1072-E-13200-S-Draper-UT-84020/12931963_zpid/
61172449,Draper,UT,84020,40.509773,-111.840256,1299999.0,4.0,6.0,4979.0,SINGLE_FAMILY,1314700.0,USA,919100.0,,,https://www.zillow.com/homedetails/13283-S-Laurel-Park-Ln-Draper-UT-84020/61172449_zpid/
337866582,South Jordan,UT,84009,40.554436,-112.01502,749000.0,4.0,4.0,3371.0,SINGLE_FAMILY,754100.0,USA,635400.0,,,https://www.zillow.com/homedetails/10841-S-Arista-Way-South-Jordan-UT-84009/337866582_zpid/
12895828,South Jordan,UT,84009,40.573032,-111.98524,1190000.0,5.0,5.0,5264.0,SINGLE_FAMILY,1164300.0,USA,759700.0,,,https://www.zillow.com/homedetails/3953-W-Skye-Dr-South-Jordan-UT-84009/12895828_zpid/
337868230,South Jordan,UT,84009,40.549816,-112.043045,599000.0,3.0,4.0,2740.0,SINGLE_FAMILY,599500.0,USA,519400.0,,,https://www.zillow.com/homedetails/11087-S-Willow-Walk-Dr-South-Jordan-UT-84009/337868230_zpid/
12789409,Millcreek,UT,84107,40.68376,-111.884865,300000.0,2.0,3.0,1100.0,CONDO,296100.0,USA,279300.0,,,https://www.zillow.com/homedetails/229-E-Hill-Ave-APT-3-Millcreek-UT-84107/12789409_zpid/
12901581,Draper,UT,84020,40.53691,-111.901535,605000.0,2.0,4.0,2244.0,SINGLE_FAMILY,614200.0,USA,417000.0,,,https://www.zillow.com/homedetails/374-W-Inauguration-Rd-Draper-UT-84020/12901581_zpid/
61173538,Draper,UT,84020,40.47714,-111.850105,1229000.0,4.0,4.0,5056.0,SINGLE_FAMILY,1245300.0,USA,998300.0,,,https://www.zillow.com/homedetails/1451-E-Meadow-Bluff-Ln-Draper-UT-84020/61173538_zpid/
12901562,Draper,UT,84020,40.53862,-111.909744,1085000.0,4.0,4.0,3937.0,SINGLE_FAMILY,1090100.0,USA,636300.0,,,https://www.zillow.com/homedetails/11725-S-700-W-Draper-UT-84020/12901562_zpid/
2067175074,Draper,UT,84020,40.529964,-111.8648,799900.0,4.0,5.0,3009.0,SINGLE_FAMILY,807600.0,USA,,,,https://www.zillow.com/homedetails/12112-Heron-Ridge-Cir-Draper-UT-84020/2067175074_zpid/
12889241,South Jordan,UT,84009,40.576286,-112.00984,740000.0,3.0,6.0,3614.0,SINGLE_FAMILY,750800.0,USA,654400.0,,,https://www.zillow.com/homedetails/9645-S-Rosella-Ct-South-Jordan-UT-84009/12889241_zpid/
89430439,South Jordan,UT,84009,40.563698,-112.0014,539999.0,3.0,4.0,2582.0,SINGLE_FAMILY,545000.0,USA,494700.0,,,https://www.zillow.com/homedetails/4639-W-Vermillion-Dr-South-Jordan-UT-84009/89430439_zpid/
190447626,Draper,UT,84020,40.47012,-111.82097,1649900.0,4.0,4.0,5387.0,SINGLE_FAMILY,1630900.0,USA,203200.0,,,https://www.zillow.com/homedetails/15499-S-Winged-Trace-Ct-Draper-UT-84020/190447626_zpid/
2071363213,South Jordan,UT,84095,40.53891,-111.97053,1100000.0,5.0,6.0,5263.0,SINGLE_FAMILY,,USA,,,,https://www.zillow.com/homedetails/11687-S-Jordan-Farms-Rd-W-South-Jordan-UT-84095/2071363213_zpid/
305063608,Draper,UT,84020,40.527573,-111.83385,7330000.0,8.0,7.0,10702.0,SINGLE_FAMILY,6794500.0,USA,383000.0,True,BUILDER_SPEC,https://www.zillow.com/homedetails/2019-E-Graystone-Ct-Draper-UT-84020/305063608_zpid/
347770917,South Jordan,UT,84095,40.578156,-111.939445,684900.0,2.0,3.0,3422.0,SINGLE_FAMILY,685600.0,USA,,,,https://www.zillow.com/homedetails/1741-W-Brocious-Way-South-Jordan-UT-84095/347770917_zpid/
2072623721,South Jordan,UT,84095,40.56688,-111.91179,530000.0,3.0,3.0,1592.0,TOWNHOUSE,,USA,,,,https://www.zillow.com/homedetails/10206-S-Mystic-Falls-Way-W-South-Jordan-UT-84095/2072623721_zpid/
333164128,South Jordan,UT,84009,40.552998,-112.00119,2390000.0,5.0,5.0,5033.0,SINGLE_FAMILY,2379000.0,USA,1446800.0,,,https://www.zillow.com/homedetails/10929-S-Lake-Island-Dr-South-Jordan-UT-84009/333164128_zpid/
145607166,South Jordan,UT,84009,40.54648,-112.00062,625000.0,4.0,4.0,2118.0,TOWNHOUSE,631200.0,USA,553600.0,,,https://www.zillow.com/homedetails/4605-W-Daybreak-Rim-Way-South-Jordan-UT-84009/145607166_zpid/
248854749,South Jordan,UT,84009,40.558147,-111.9777,599900.0,3.0,3.0,3283.0,SINGLE_FAMILY,,USA,346700.0,,,https://www.zillow.com/homedetails/10701-S-Big-Meadow-Dr-South-Jordan-UT-84009/248854749_zpid/
12895033,South Jordan,UT,84009,40.573334,-111.993935,630000.0,3.0,4.0,2918.0,SINGLE_FAMILY,631300.0,USA,518000.0,,,https://www.zillow.com/homedetails/4332-W-Golf-Cir-South-Jordan-UT-84009/12895033_zpid/
12899123,South Jordan,UT,84095,40.561993,-111.94326,799900.0,3.0,6.0,3274.0,SINGLE_FAMILY,797900.0,USA,678400.0,,,https://www.zillow.com/homedetails/1944-W-Gladys-Cir-South-Jordan-UT-84095/12899123_zpid/
2057720076,Draper,UT,84020,40.476204,-111.88777,629999.0,4.0,4.0,2719.0,SINGLE_FAMILY,627100.0,USA,,,,https://www.zillow.com/homedetails/15138-Moab-Way-Draper-UT-84020/2057720076_zpid/
65730777,South Jordan,UT,84009,40.537304,-111.99737,339000.0,3.0,3.0,1400.0,TOWNHOUSE,343400.0,USA,329000.0,,,https://www.zillow.com/homedetails/4462-W-11800-S-South-Jordan-UT-84009/65730777_zpid/
117877037,South Jordan,UT,84009,40.54872,-112.00827,339000.0,2.0,2.0,1099.0,CONDO,332900.0,USA,349100.0,,,https://www.zillow.com/homedetails/11151-S-Tydeman-Way-UNIT-103-South-Jordan-UT-84009/117877037_zpid/
63343258,South Jordan,UT,84095,40.544937,-111.96422,1075000.0,4.0,6.0,4934.0,SINGLE_FAMILY,1067200.0,USA,847000.0,,,https://www.zillow.com/homedetails/11358-S-Alta-Peak-Rd-South-Jordan-UT-84095/63343258_zpid/
69724032,South Jordan,UT,84095,40.548706,-111.966156,899900.0,5.0,6.0,4577.0,SINGLE_FAMILY,881800.0,USA,863900.0,,,https://www.zillow.com/homedetails/11146-S-Alta-Crest-Dr-South-Jordan-UT-84095/69724032_zpid/
305068085,South Jordan,UT,84095,40.549854,-111.937904,475000.0,3.0,3.0,1861.0,TOWNHOUSE,473500.0,USA,449600.0,,,https://www.zillow.com/homedetails/11086-S-Kyson-Rd-South-Jordan-UT-84095/305068085_zpid/
2061971225,South Jordan,UT,84009,40.541756,-112.051605,870000.0,5.0,6.0,4117.0,SINGLE_FAMILY,867400.0,USA,,,,https://www.zillow.com/homedetails/11487-S-Bingham-Rim-Rd-W-South-Jordan-UT-84009/2061971225_zpid/
72633066,South Jordan,UT,84009,40.549812,-111.99478,665000.0,4.0,5.0,3277.0,SINGLE_FAMILY,657400.0,USA,515600.0,,,https://www.zillow.com/homedetails/11088-S-Topview-Rd-South-Jordan-UT-84009/72633066_zpid/
12936532,Draper,UT,84020,40.50558,-111.86513,1499000.0,4.0,6.0,5319.0,SINGLE_FAMILY,1506400.0,USA,911600.0,,,https://www.zillow.com/homedetails/928-E-Old-English-Rd-Draper-UT-84020/12936532_zpid/
