zpid,streetName,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,zestimate,rentZestimate,isPreforeclosureAuction,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,is_newHome,newConstructionType,datePriceChanged,priceReduction,priceChange,is_openHouse,openHouse,open_house_showing,imgSrc,homeDetailUrl,price_to_rent_ratio
12773332,443 E Hollywood Ave,Salt Lake City,UT,84115,40.727432,-111.87827,610000,3,5,2533,SINGLE_FAMILY,FOR_SALE,-1,622500,2997,FALSE,FALSE,USD,USA,549400,6098.4,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/446189fde9f2454590f24477385f94e7-p_e.jpg,https://www.zillow.com/homedetails/443-E-Hollywood-Ave-Salt-Lake-City-UT-84115/12773332_zpid/,207.7077077
12730800,3641 S 7200 W,Magna,UT,84044,40.693027,-112.06254,820000,5,7,2913,SINGLE_FAMILY,FOR_SALE,-1,794200,2735,FALSE,FALSE,USD,USA,454700,0.43,acres,,,1.71E+12,"$5,000 (Apr 22)",-5000,,,,https://photos.zillowstatic.com/fp/a088c178b25e1c4d21bd84fed1c3bee9-p_e.jpg,https://www.zillow.com/homedetails/3641-S-7200-W-Magna-UT-84044/12730800_zpid/,290.3839122
304738796,102 W 300 N,Salt Lake City,UT,84103,40.776207,-111.89436,775000,3,3,3000,MULTI_FAMILY,FOR_SALE,-1,744600,3936,FALSE,FALSE,USD,USA,706900,6098.4,sqft,,,1.71E+12,"$20,000 (Apr 1)",-20000,,,,https://photos.zillowstatic.com/fp/6fea67353322556f6bff282b48b33639-p_e.jpg,https://www.zillow.com/homedetails/102-W-300-N-Salt-Lake-City-UT-84103/304738796_zpid/,189.1768293
12710800,956 N 1300 W,Salt Lake City,UT,84116,40.790234,-111.928024,579500,2,4,1728,MULTI_FAMILY,FOR_SALE,-1,572700,2550,FALSE,FALSE,USD,USA,459800,0.27,acres,,,1.71E+12,"$5,500 (Mar 30)",-5500,,,,https://photos.zillowstatic.com/fp/9e3d17aa0940e6a7e2f00bef50bf484f-p_e.jpg,https://www.zillow.com/homedetails/956-N-1300-W-Salt-Lake-City-UT-84116/12710800_zpid/,224.5882353
344647664,5330 W 3500 S,West Valley City,UT,84120,40.696873,-112.018425,799900,3,3,3913,SINGLE_FAMILY,FOR_SALE,-1,803000,3425,FALSE,FALSE,USD,USA,,8712,sqft,TRUE,BUILDER_SPEC,,,,,,,https://photos.zillowstatic.com/fp/982e2060888d357a2abf62d0b6c65742-p_e.jpg,https://www.zillow.com/homedetails/5330-W-3500-S-West-Valley-City-UT-84120/344647664_zpid/,234.4525547
2069379762,940 S Donner Way E 180,Salt Lake City,UT,84108,40.74888,-111.8051,695000,2,2,1708,CONDO,FOR_SALE,-1,685000,2695,FALSE,FALSE,USD,USA,,4356,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/7e9849c2044c492abff5a80500dac33c-p_e.jpg,https://www.zillow.com/homedetails/940-S-Donner-Way-E-180-Salt-Lake-City-UT-84108/2069379762_zpid/,254.174397
12713740,435 N Star Crest Dr,Salt Lake City,UT,84116,40.779,-111.943924,459900,2,5,1900,SINGLE_FAMILY,FOR_SALE,-1,456100,2450,FALSE,FALSE,USD,USA,281100,5227.2,sqft,,,1.71E+12,"$5,000 (Apr 1)",-5000,,,,https://photos.zillowstatic.com/fp/75d6688e6d3cef968785e730ca11275c-p_e.jpg,https://www.zillow.com/homedetails/435-N-Star-Crest-Dr-Salt-Lake-City-UT-84116/12713740_zpid/,186.1632653
2055198747,6794 W 4120 S 102,West Valley City,UT,84128,40.68157,-112.052536,888000,4,3,4217,SINGLE_FAMILY,FOR_SALE,-1,,3910,FALSE,FALSE,USD,USA,,8712,sqft,TRUE,BUILDER_SPEC,,,,,,,https://photos.zillowstatic.com/fp/b15d22acdf5ee17e3536c6f1aa296590-p_e.jpg,https://www.zillow.com/homedetails/6794-W-4120-S-102-West-Valley-City-UT-84128/2055198747_zpid/,
341560881,41 E 200 N,Bountiful,UT,84010,40.77415,-111.88969,570000,3,2,1431,TOWNHOUSE,FOR_SALE,-1,559900,2495,FALSE,FALSE,USD,USA,,435.6,sqft,TRUE,NEW_CONSTRUCTION_TYPE_OTHER,,,,,,,https://photos.zillowstatic.com/fp/25ecd496f5c20cb52b05a798224ca8d5-p_e.jpg,https://www.zillow.com/homedetails/41-E-200-N-Bountiful-UT-84010/341560881_zpid/,224.4088176
2057974809,1324 N 720 E 3,Orem,UT,84097,40.271282,-111.67765,1270000,4,3,5330,SINGLE_FAMILY,FOR_SALE,-1,,5132,FALSE,FALSE,USD,USA,,3049.2,sqft,TRUE,BUILDER_SPEC,,,,,,,https://photos.zillowstatic.com/fp/5891dc4e10fbccf14ce233a98c4d3099-p_e.jpg,https://www.zillow.com/homedetails/1324-N-720-E-3-Orem-UT-84097/2057974809_zpid/,
68908031,508 E 600 S,Orem,UT,84097,40.28582,-111.68319,519900,2,5,2833,SINGLE_FAMILY,FOR_SALE,-1,503700,2626,FALSE,FALSE,USD,USA,333400,9147.6,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/3a0d578d8382acdb384396ed1d89baea-p_e.jpg,https://www.zillow.com/homedetails/508-E-600-S-Orem-UT-84097/68908031_zpid/,191.8126428
12756233,956 S Edison St,Salt Lake City,UT,84111,40.748314,-111.887115,550000,14,15,10050,MULTI_FAMILY,FOR_SALE,-1,524300,4950,FALSE,FALSE,USD,USA,363100,7405.2,sqft,TRUE,NEW_CONSTRUCTION_TYPE_OTHER,1.71E+12,"$100,000 (Feb 5)",-100000,,,,https://photos.zillowstatic.com/fp/c903c3fc44d8396f7159f11445f8eceb-p_e.jpg,https://www.zillow.com/homedetails/956-S-Edison-St-Salt-Lake-City-UT-84111/12756233_zpid/,105.9191919
12770310,1724 S 800 E,Salt Lake City,UT,84105,40.73286,-111.86859,880000,3,4,2618,MULTI_FAMILY,FOR_SALE,-1,862600,3440,FALSE,FALSE,USD,USA,714600,6098.4,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/8ce14e150089427f59315562198a5cd8-p_e.jpg,https://www.zillow.com/homedetails/1724-S-800-E-Salt-Lake-City-UT-84105/12770310_zpid/,250.755814
11917649,1485 W 730 S,Orem,UT,84058,40.283726,-111.7311,599000,2,4,1643,SINGLE_FAMILY,FOR_SALE,-1,592300,2127,FALSE,FALSE,USD,USA,289600,0.27,acres,,,,,,,,,https://photos.zillowstatic.com/fp/7bdf99c16c18c6a647357c05328213e4-p_e.jpg,https://www.zillow.com/homedetails/1485-W-730-S-Orem-UT-84058/11917649_zpid/,278.4673249
12767053,1514 E 1700 S,Salt Lake City,UT,84105,40.733204,-111.8473,1100000,3,7,3654,MULTI_FAMILY,FOR_SALE,-1,1062800,3575,FALSE,FALSE,USD,USA,658500,0.29,acres,,,,,,,,,https://photos.zillowstatic.com/fp/57b71c9b5de4e281efe77dc3989da782-p_e.jpg,https://www.zillow.com/homedetails/1514-E-1700-S-Salt-Lake-City-UT-84105/12767053_zpid/,297.2867133
12735976,811 W 100 S,Salt Lake City,UT,84104,40.766808,-111.9145,5200000,38,22,12994,MULTI_FAMILY,FOR_SALE,-1,4986500,19433,FALSE,FALSE,USD,USA,189200,435.6,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/f43bdbc950a5da1259a0aefb000bcbae-p_e.jpg,https://www.zillow.com/homedetails/811-W-100-S-Salt-Lake-City-UT-84104/12735976_zpid/,256.5995986
12775630,2625 S 700 E,Salt Lake City,UT,84106,40.713364,-111.87074,818000,2,2,1056,MULTI_FAMILY,FOR_SALE,-1,792600,1650,FALSE,FALSE,USD,USA,400700,7840.8,sqft,,,1.71E+12,"$1,000 (Mar 8)",-1000,,,,https://photos.zillowstatic.com/fp/d0751fe113a4c25f4839e8b1dfdc9f31-p_e.jpg,https://www.zillow.com/homedetails/2625-S-700-E-Salt-Lake-City-UT-84106/12775630_zpid/,480.3636364
